E	1	told	p0	audience=['p3'];from=p0;subject=cafe_7;relation=affords;obj=fun;conf=0.8;fact_id=cafe_7|affords|1
E	1	told	p3	audience=['p9'];from=p3;subject=cafe_7;relation=affords;obj=fun;conf=0.64;fact_id=cafe_7|affords|1
D	755	p6	idle		
D	755	p7	idle		
D	755	p8	idle		
D	755	p9	idle		
D	774	p0	idle		
D	774	p1	idle		
D	774	p2	idle		
D	774	p3	idle		
D	774	p4	idle		
D	774	p5	idle		
D	774	p6	idle		
D	774	p7	idle		
D	774	p8	idle		
D	774	p9	idle		
D	793	p0	idle		
D	793	p1	idle		
D	793	p2	idle		
D	793	p3	idle		
D	793	p4	idle		
D	793	p5	idle		
D	793	p6	idle		
D	793	p7	idle		
D	793	p8	idle		
D	793	p9	idle		
D	811	p0	idle		
D	811	p1	idle		
D	811	p2	idle		
D	811	p3	idle		
D	811	p4	idle		
D	811	p5	idle		
D	811	p6	idle		
D	811	p7	idle		
D	811	p8	idle		
D	811	p9	idle		
D	829	p0	idle		
D	829	p1	idle		
D	829	p2	idle		
D	829	p3	idle		
D	829	p4	idle		
D	829	p5	idle		
D	829	p6	idle		
D	829	p7	idle		
D	829	p8	idle		
D	829	p9	idle		
D	847	p0	idle		
D	847	p1	idle		
D	847	p2	idle		
D	847	p3	idle		
D	847	p4	idle		
D	847	p5	idle		
D	847	p6	idle		
D	847	p7	idle		
D	847	p8	idle		
D	847	p9	idle		
D	865	p0	idle		
D	865	p1	idle		
D	865	p2	idle		
D	865	p3	idle		
D	865	p4	idle		
D	865	p5	idle		
D	865	p6	idle		
D	865	p7	idle		
D	865	p8	idle		
D	865	p9	idle		
D	883	p0	idle		
D	883	p1	idle		
D	883	p2	idle		
D	883	p3	idle		
D	883	p4	idle		
D	883	p5	idle		
D	883	p6	idle		
D	883	p7	idle		
D	883	p8	idle		
D	883	p9	idle		
D	901	p0	idle		
D	901	p1	idle		
D	901	p2	idle		
D	901	p3	idle		
D	901	p4	idle		
D	901	p5	idle		
D	901	p6	idle		
D	901	p7	idle		
D	901	p8	idle		
D	901	p9	idle		
D	920	p0	idle		
D	920	p1	idle		
D	920	p2	idle		
D	920	p3	idle		
D	920	p4	idle		
D	920	p5	idle		
D	920	p6	idle		
D	920	p7	idle		
D	920	p8	idle		
D	920	p9	idle		
D	939	p0	idle		
D	939	p1	idle		
D	939	p2	idle		
D	939	p3	idle		
D	939	p4	idle		
D	939	p5	idle		
D	939	p6	idle		
D	939	p7	idle		
D	939	p8	idle		
D	939	p9	idle		
D	958	p0	idle		
D	958	p1	idle		
D	958	p2	idle		
D	958	p3	idle		
D	958	p4	idle		
D	958	p5	idle		
D	958	p6	idle		
D	958	p7	idle		
D	958	p8	idle		
D	958	p9	idle		
D	978	p0	idle		
D	978	p1	idle		
D	978	p2	idle		
D	978	p3	idle		
D	978	p4	idle		
D	978	p5	idle		
D	978	p6	idle		
D	978	p7	idle		
D	978	p8	idle		
D	978	p9	idle		
D	999	p0	idle		
D	999	p1	idle		
D	999	p2	idle		
D	999	p3	idle		
D	999	p4	idle		
D	999	p5	idle		
D	999	p6	idle		
D	999	p7	idle		
D	999	p8	idle		
D	999	p9	idle		
D	1020	p0	idle		
D	1020	p1	idle		
D	1020	p2	idle		
D	1020	p3	idle		
D	1020	p4	idle		
D	1020	p5	idle		
D	1020	p6	idle		
D	1020	p7	idle		
D	1020	p8	idle		
D	1020	p9	idle		
D	1042	p0	idle		
D	1042	p1	idle		
D	1042	p2	idle		
D	1042	p3	idle		
D	1042	p4	idle		
D	1042	p5	idle		
D	1042	p6	idle		
D	1042	p7	idle		
D	1042	p8	idle		
D	1042	p9	idle		
D	1066	p0	idle		
D	1066	p1	idle		
D	1066	p2	idle		
D	1066	p3	idle		
D	1066	p4	idle		
D	1066	p5	idle		
D	1066	p6	idle		
D	1066	p7	idle		
D	1066	p8	idle		
D	1066	p9	idle		
D	1091	p0	idle		
D	1091	p1	idle		
D	1091	p2	idle		
D	1091	p3	idle		
D	1091	p4	idle		
D	1091	p5	idle		
D	1091	p6	idle		
D	1091	p7	idle		
D	1091	p8	idle		
D	1091	p9	idle		
D	1117	p0	idle		
D	1117	p1	idle		
D	1117	p2	idle		
D	1117	p3	idle		
D	1117	p4	idle		
D	1117	p5	idle		
D	1117	p6	idle		
D	1117	p7	idle		
D	1117	p8	idle		
D	1117	p9	idle		
D	1145	p0	idle		
D	1145	p1	idle		
D	1145	p2	idle		
D	1145	p3	idle		
D	1145	p4	idle		
D	1145	p5	idle		
D	1145	p6	idle		
D	1145	p7	idle		
D	1145	p8	idle		
D	1145	p9	idle		
D	1175	p0	idle		
D	1175	p1	idle		
D	1175	p2	idle		
D	1175	p3	idle		
D	1175	p4	idle		
D	1175	p5	idle		
D	1175	p6	idle		
D	1175	p7	idle		
D	1175	p8	idle		
D	1175	p9	idle		
D	1207	p0	idle		
D	1207	p1	idle		
D	1207	p2	idle		
D	1207	p3	idle		
D	1207	p4	idle		
D	1207	p5	idle		
D	1207	p6	idle		
D	1207	p7	idle		
D	1207	p8	idle		
D	1207	p9	idle		
D	1241	p0	idle		
D	1241	p1	idle		
D	1241	p2	idle		
D	1241	p3	idle		
D	1241	p4	idle		
D	1241	p5	idle		
D	1241	p6	idle		
D	1241	p7	idle		
D	1241	p8	idle		
D	1241	p9	idle		
D	1278	p0	idle		
D	1278	p1	idle		
D	1278	p2	idle		
D	1278	p3	idle		
D	1278	p4	idle		
D	1278	p5	idle		
D	1278	p6	idle		
D	1278	p7	idle		
D	1278	p8	idle		
D	1278	p9	idle		
D	1317	p0	idle		
D	1317	p1	idle		
D	1317	p2	idle		
D	1317	p3	idle		
D	1317	p4	idle		
D	1317	p5	idle		
D	1317	p6	idle		
D	1317	p7	idle		
D	1317	p8	idle		
D	1317	p9	idle		
D	1359	p0	idle		
D	1359	p1	idle		
D	1359	p2	idle		
D	1359	p3	idle		
D	1359	p4	idle		
D	1359	p5	idle		
D	1359	p6	idle		
D	1359	p7	idle		
D	1359	p8	idle		
D	1359	p9	idle		
D	1404	p0	idle		
D	1404	p1	idle		
D	1404	p2	idle		
D	1404	p3	idle		
D	1404	p4	idle		
D	1404	p5	idle		
D	1404	p6	idle		
D	1404	p7	idle		
D	1404	p8	idle		
D	1404	p9	idle		
D	1451	p0	idle		
D	1451	p1	idle		
D	1451	p2	idle		
D	1451	p3	idle		
D	1451	p4	idle		
D	1451	p5	idle		
D	1451	p6	idle		
D	1451	p7	idle		
D	1451	p8	idle		
D	1451	p9	idle		
D	1499	p0	idle		
D	1499	p1	idle		
D	1499	p2	idle		
D	1499	p3	idle		
D	1499	p4	idle		
D	1499	p5	idle		
D	1499	p6	idle		
D	1499	p7	idle		
D	1499	p8	idle		
D	1499	p9	idle		
D	1547	p0	idle		
D	1547	p1	idle		
D	1547	p2	idle		
D	1547	p3	idle		
D	1547	p4	idle		
D	1547	p5	idle		
D	1547	p6	idle		
D	1547	p7	idle		
D	1547	p8	idle		
D	1547	p9	idle		
D	1595	p0	idle		
D	1595	p1	idle		
D	1595	p2	idle		
D	1595	p3	idle		
D	1595	p4	idle		
D	1595	p5	idle		
D	1595	p6	idle		
D	1595	p7	idle		
D	1595	p8	idle		
D	1595	p9	idle		
D	1643	p0	idle		
D	1643	p1	idle		
D	1643	p2	idle		
D	1643	p3	idle		
D	1643	p4	idle		
D	1643	p5	idle		
D	1643	p6	idle		
D	1643	p7	idle		
D	1643	p8	idle		
D	1643	p9	idle		
D	1691	p0	idle		
D	1691	p1	idle		
D	1691	p2	idle		
D	1691	p3	idle		
D	1691	p4	idle		
D	1691	p5	idle		
D	1691	p6	idle		
D	1691	p7	idle		
D	1691	p8	idle		
D	1691	p9	idle		
D	1739	p0	idle		
D	1739	p1	idle		
D	1739	p2	idle		
D	1739	p3	idle		
D	1739	p4	idle		
D	1739	p5	idle		
D	1739	p6	idle		
D	1739	p7	idle		
D	1739	p8	idle		
D	1739	p9	idle		
D	1787	p0	idle		
D	1787	p1	idle		
D	1787	p2	idle		
D	1787	p3	idle		
D	1787	p4	idle		
D	1787	p5	idle		
D	1787	p6	idle		
D	1787	p7	idle		
D	1787	p8	idle		
D	1787	p9	idle		
D	1835	p0	idle		
D	1835	p1	idle		
D	1835	p2	idle		
D	1835	p3	idle		
D	1835	p4	idle		
D	1835	p5	idle		
D	1835	p6	idle		
D	1835	p7	idle		
D	1835	p8	idle		
D	1835	p9	idle		
D	1883	p0	idle		
D	1883	p1	idle		
D	1883	p2	idle		
D	1883	p3	idle		
D	1883	p4	idle		
D	1883	p5	idle		
D	1883	p6	idle		
D	1883	p7	idle		
D	1883	p8	idle		
D	1883	p9	idle		
D	1930	p0	idle		
D	1930	p1	idle		
D	1930	p2	idle		
D	1930	p3	idle		
D	1930	p4	idle		
D	1930	p5	idle		
D	1930	p6	idle		
D	1930	p7	idle		
D	1930	p8	idle		
D	1930	p9	idle		
D	1975	p0	idle		
D	1975	p1	idle		
D	1975	p2	idle		
D	1975	p3	idle		
D	1975	p4	idle		
D	1975	p5	idle		
D	1975	p6	idle		
D	1975	p7	idle		
D	1975	p8	idle		
D	1975	p9	idle		
D	2018	p0	idle		
D	2018	p1	idle		
D	2018	p2	idle		
D	2018	p3	idle		
D	2018	p4	idle		
D	2018	p5	idle		
D	2018	p6	idle		
D	2018	p7	idle		
D	2018	p8	idle		
D	2018	p9	idle		
D	2060	p0	idle		
D	2060	p1	idle		
D	2060	p2	idle		
D	2060	p3	idle		
D	2060	p4	idle		
D	2060	p5	idle		
D	2060	p6	idle		
D	2060	p7	idle		
D	2060	p8	idle		
D	2060	p9	idle		
D	2100	p0	idle		
D	2100	p1	idle		
D	2100	p2	idle		
